#Steps	Time [ms]	X [m/s²]	Y [m/s²]	Z [m/s²]
1	0	0.052438	0.026219	0.255042
2	5	0.109383	-0.045418	-0.0274883
3	10	0.063551	-0.107165	0.08706
4	15	-0.063094	-0.011289	-0.170797
5	20	0.235165	0.043589	0.635696
6	25	0.207776	-0.183066	-0.27322
7	30	0.04466	-0.008155	0.111892
8	35	0.011068	0.037173	0.168541
9	40	0.051534	0.041755	0.036606
10	45	0.141852	-0.161055	0.112699
11	49	0.074407	-0.04346	0.166959
12	54	0.052585	0.056866	-0.03409
13	59	0.088077	0.0542	0.266408
14	64	0.221118	-0.108152	-0.121054
15	69	0.031716	0.197482	0.060699
16	74	0.157887	-0.025172	0.544259
17	79	0.190472	-0.196663	-0.287929
18	84	-0.005928	0.078425	0.016216
19	89	-0.024967	-0.003006	0.242574
20	94	0.099102	0.027995	0.227065
21	99	0.120061	-0.031734	-0.133984
22	103	0.105163	0.011328	0.233752
23	108	0.059352	-0.034016	0.094342
24	113	-0.086341	0.018592	0.053352
25	118	0.066637	-0.110213	-0.154283
26	123	0.197401	-0.031007	0.249308
27	128	0.158282	-0.014168	0.25045
28	133	-0.002204	-0.10944	-0.151234
29	138	-0.002193	0.053187	0.102175
30	143	0.050256	0.026703	0.137421
31	148	0.145349	-0.004416	0.146271
32	153	0.044516	-0.066367	-0.06421
33	157	0.058596	-0.049351	0.136329
34	162	0.117893	0.098675	0.211926
35	167	-0.009022	-0.168775	0.039253
36	172	0.012475	-0.020155	-0.218367
37	177	0.203098	0.087206	0.507322
38	182	0.159183	0.143978	-0.005283
39	187	0.034446	-0.116547	-0.071997
40	192	0.060494	0.000828	0.147649
41	197	0.105481	0.084248	0.142147
42	202	0.071586	0.079062	0.043715
43	206	-0.043181	-0.059578	0.048264
44	211	0.157253	-0.106953	0.181504
45	216	0.120717	0.134319	-0.012467
46	221	0.036692	-0.054651	0.013813
47	226	0.074646	0.026662	0.099552
48	231	0.183919	0.06705	0.296892
49	236	0.123415	-0.000023	-0.097873
50	241	-0.065501	-0.171639	0.102833
51	246	0.013483	-0.008703	-0.016857
52	251	0.051553	-0.011044	0.09287
53	256	0.156173	-0.046742	0.137695
54	260	0.045752	-0.096564	0.01545
55	265	0.050292	0.075532	0.024906
56	270	0.076261	0.134746	0.189248
57	275	0.109251	-0.221075	-0.085802
58	280	0.003831	0.020764	0.091006
59	285	0.099154	0.051647	0.34798
60	290	0.070058	-0.110692	-0.12808
61	295	0.060175	-0.074388	0.094228
62	300	0.03604	0.095215	-0.123144
63	305	0.014409	0.087591	0.263605
64	309	0.102529	-0.072544	-0.016582
65	314	0.018594	0.027927	0.019253
66	319	0.147214	-0.031801	0.040609
67	324	0.070208	-0.007807	0.283531
68	329	0.074626	-0.060207	-0.258948
69	334	0.071871	0.109326	0.238119
70	339	0.150171	0.080179	0.236935
71	344	-0.086549	-0.003644	-0.176599
72	349	-0.007461	0.055963	0.074553
73	354	0.042631	0.103355	0.117086
74	359	0.1902	-0.056857	0.216613
75	363	0.072459	-0.056574	-0.089561
76	368	0.057797	-0.034841	0.137323
77	373	0.119482	-0.094257	0.081819
78	378	-0.00029	0.003938	-0.025849
79	383	-0.043193	-0.027068	-0.104377
80	388	0.047597	-0.019782	0.368087
81	393	0.242812	-0.100725	-0.103307
82	398	0.029467	0.021338	0.142715
83	403	0.057924	0.011697	-0.01531
84	408	0.048101	-0.052717	0.084875
85	413	0.019259	-0.04292	0.167878
86	417	-0.023741	0.021649	-0.152355
87	422	0.131309	-0.088102	0.19402
88	427	0.10682	0.010062	0.059575
89	432	0.018097	0.007628	-0.055132
90	437	0.065678	0.122001	0.121526
91	442	0.155926	-0.02877	0.16621
92	447	0.055041	-0.009558	-0.106344
93	452	-0.033424	0.033393	0.177829
94	457	0.01918	0.080898	0.017245
95	462	0.100126	-0.007696	0.114885
96	466	0.059107	0.042397	0.023739
97	471	0.032594	0.08509	-0.05027
98	476	0.053884	-0.015442	0.183569
99	481	0.070301	-0.072571	0.065863
100	486	0.007978	0.113708	-0.153752
101	491	0.067528	-0.053707	0.118739
102	496	0.083877	0.02045	0.151519
103	501	0.045322	-0.034473	-0.004167
104	506	0.076083	-0.04622	0.10073
105	511	0.035184	-0.022154	-0.05232
106	516	0.035009	-0.124537	0.171996
107	520	-0.039056	0.045315	0.066263
108	525	0.046947	-0.066937	-0.091381
109	530	0.106302	-0.018933	0.156965
110	535	0.110541	-0.097496	0.10613
111	540	0.057552	0.084139	-0.158975
112	545	0.071567	-0.071211	0.266091
113	550	0.097431	-0.056555	-0.066548
114	555	-0.079438	0.036685	0.091098
115	560	0.011533	-0.154182	-0.002315
116	565	0.104434	0.011051	0.07397
117	569	0.089613	-0.093881	0.154645
118	574	-0.018093	0.09012	0.003711
119	579	-0.018003	0.032466	0.068048
120	584	0.098881	0.05614	0.070094
121	589	0.160362	-0.063317	0.050676
122	594	0.021318	0.182505	0.026589
123	599	0.142773	-0.144951	0.250511
124	604	0.134912	-0.03697	-0.101119
125	609	-0.085047	0.032338	0.047165
126	614	-0.04887	0.079848	0.049314
127	619	0.049099	0.03893	0.06337
128	623	0.10606	-0.130496	-0.046588
129	628	0.036409	0.113276	0.125259
130	633	0.09105	-0.068438	0.038829
131	638	0.061994	-0.05618	0.08869
132	643	0.025932	-0.129791	-0.176326
133	648	-0.07669	0.216471	0.12488
134	653	0.066706	-0.10877	0.221986
135	658	0.06399	-0.18927	-0.196242
136	663	0.037453	0.07148	0.183721
137	668	0.056335	-0.076656	-0.019795
138	673	0.01315	0.035752	0.087562
139	677	0.072674	-0.18848	-0.012983
140	682	-0.051633	0.024594	0.039519
141	687	0.053501	-0.013665	0.039322
142	692	0.038933	-0.135159	0.096331
143	697	0.134082	-0.03676	-0.125819
144	702	0.069059	0.115971	0.189437
145	707	0.063948	0.008133	0.131289
146	712	-0.012644	-0.06103	-0.095802
147	717	0.063693	0.065602	0.102509
148	722	0.051458	0.053358	0.042411
149	726	0.075038	-0.039867	0.063651
150	731	0.003158	-0.077805	-0.010556
151	736	0.026978	0.087048	0.118208
152	741	0.074515	0.058012	0.024661
153	746	-0.037884	-0.035236	0.053142
154	751	0.01236	0.010227	-0.19978
155	756	0.083805	0.148423	0.225488
156	761	0.169196	-0.085905	0.190997
157	766	0.032492	-0.075943	-0.091213
158	771	0.037097	0.036462	0.107076
159	776	-0.034594	0.045815	-0.065074
160	780	0.037085	-0.064057	0.099715
